,GRZEWI Index,GRZECURR Index,EUCCEMU Index,GRZEEUEX Index,GRIFPEX Index,ITPSSA Index,GRIFPCA Index,GRIFPBUS Index,ITBCI Index,FRCCO Index,GRUECHNG Index,ECCPEMUM Index,UMRTEMU Index,GRFRIAMM Index,ITPRSANM Index,GRIPIMOM Index,FPIPMOM Index,GRIORTMM Index,ITNSSTN Index,RSSAEMUM Index
2003-01-31,14,-94.7,-17.7,29.9,94,101.7,89.3,91.6,103.8,103,52,-0.1,8.9,-1.1,0.9,1,1.1,3.1,-0.3,0.2
2003-02-28,15,-94.7,-19.3,28.7,93.7,102.8,92.1,92.9,103.6,101,46,0.4,9,0,-1.6,0.1,1,-0.2,1.2,0.3
2003-03-31,17.7,-96.1,-20.8,29.6,93.4,102.3,90.8,92.1,102.6,97,21,0.6,9,0.3,0.4,0.7,-0.9,-2.2,-0.1,-0.2
2003-04-30,18.4,-95.8,-18.8,29.5,93.2,103.3,90.7,91.9,100.6,98,15,0.1,9,0.1,1.1,-0.7,0,0.5,0,0.3
2003-05-30,18.7,-95.1,-18.7,35.5,94.3,101.7,90.9,92.6,98.3,99,12,-0.1,9,0.4,-2.8,-0.7,-2.6,-2.5,-0.2,0.3
2003-06-30,21.3,-95.8,-17.6,38,97,101.2,91,94,99.1,100,-13,0.1,9.1,0.2,1.2,-0.4,0.2,3.8,-0.6,-0.1
2003-07-31,41.9,-95.8,-17.8,50.5,98.6,102.9,91.5,95,96.5,99,9,-0.1,9,-0.8,0.9,1.9,1,-1.1,0.6,-0.4
2003-08-29,52.5,-92.6,-17,58.1,101.1,101.7,92.6,96.7,100.3,99,-13,0.2,9,0.1,-0.8,-2.3,0,0.3,-0.5,0.4
2003-09-30,60.9,-91.7,-16.7,69.6,102.9,102.1,91.9,97.2,100,98,-21,0.4,9,0.5,-0.4,-0.1,0.1,2,0.4,0.3
2003-10-31,60.3,-87.4,-17.5,66.8,105.6,101.5,94.7,100,101.2,96,-4,0.1,9,0.5,0.7,2.5,2.3,1.1,0.2,0.5
2003-11-28,67.2,-87.5,-16.2,72.1,106.5,99,96.4,101.3,102.1,97,6,0.1,9.1,-0.4,0.8,0.8,-1.5,0.4,-0.4,-0.7
2003-12-31,73.4,-83.7,-16.4,78.2,106.8,99.7,96.2,101.4,100,97,15,0.3,9.1,-0.6,0.4,0.1,0.3,2.3,0.1,0
2004-01-30,72.9,-74.9,-14.9,80.1,106.4,95.2,97.8,102,99.4,98,-94,-0.2,9.2,0.3,-0.3,0,0,-2.2,0.3,0.7
2004-02-27,69.9,-70.2,-14.6,75.6,103.6,94.2,96.1,99.8,99.6,97,15,0.2,9.2,2,-0.1,-0.2,0.9,1,-0.2,0.2
2004-03-31,57.6,-72.7,-14.1,64.3,101.7,98,95.7,98.7,100.7,98,10,0.7,9.2,-0.4,-1.3,0,0.3,1.7,0.1,0
2004-04-30,49.7,-72.5,-13.6,59.1,101,97.9,98.4,99.7,103.4,99,26,0.4,9.2,1.2,0.7,0.9,0.2,1.7,0,0.7
2004-05-31,46.4,-75.9,-14.7,59.2,100.3,93.7,97.6,99,102.1,98,10,0.3,9.2,-2.2,0.8,1.1,-0.6,0.7,-1.6,-0.9
2004-06-30,47.4,-69.8,-13.5,56.8,100.5,96.7,97,98.7,103.2,98,9,0,9.2,0.9,-0.6,-0.6,0.5,-1.3,1,0.8
2004-07-30,48.4,-69.3,-14.1,55.5,101.7,97.9,98.3,100,103.3,98,27,-0.2,9.3,0.3,-0.3,0.9,0.1,1.5,-1,-0.6
2004-08-31,45.3,-65.2,-14,52,101,98.2,98.5,99.7,103.5,99,3,0.2,9.3,1.1,-1,-0.9,-3.1,-1.7,0.3,-0.7
2004-09-30,38.4,-61.5,-13.1,44.7,101.6,98.3,98.9,100.2,101.5,100,25,0.2,9.3,0.3,0.8,0,3.2,1.9,-0.4,0.7
2004-10-29,31.3,-58.9,-14.4,37.6,101.4,100.4,99.2,100.3,102.9,100,20,0.3,9.3,1.2,0.4,0.8,0.4,-0.2,-0.1,0.5
2004-11-30,13.9,-57.8,-13.9,22.1,101.1,99.1,100.1,100.6,102.1,99,31,-0.1,9.4,-0.9,-1.6,-1.3,-0.7,-1.6,0.6,0.6
2004-12-31,14.4,-64.2,-14.1,17.7,102,98.5,100.6,101.3,100.5,97,58,0.4,9.4,0.5,-0.2,0,0.3,6.5,0.1,0.3
2005-01-31,26.9,-61.2,-12.8,29.9,100.7,99.1,100.7,100.7,100.2,96,265,-0.6,9.3,1.5,0,2.2,1.1,-2.7,0,0.5
2005-02-28,35.9,-58.7,-14.1,36,99.3,99.7,99.3,99.3,99.5,97,157,0.3,9.3,-1.3,0.1,-1.6,-0.9,-1.8,0,-0.3
2005-03-31,36.3,-66,-14.4,37.3,98,100.3,98.1,98,98.1,96,58,0.7,9.3,0.1,0.3,0.4,-1.7,2.1,0.1,0.3
2005-04-29,20.1,-73,-13.2,24.6,97.1,101,97.2,97.2,95.3,96,-71,0.4,9.3,-0.3,1.3,1.5,1.6,-1,0,-0.2
2005-05-31,13.9,-69.3,-14.2,14.8,95.8,100.2,97.6,96.7,95.4,93,-2,0.3,9.2,-0.2,-1.9,-1.1,-0.6,0.5,0.4,0.3
2005-06-30,19.5,-70,-14.5,16.7,96.9,99.2,98,97.4,95.4,92,-24,0.1,9.2,0.8,0.2,1.8,0,3.4,-0.3,0.3
2005-07-29,37,-66.7,-15,29,99.9,97.5,99.2,99.5,98.8,92,-41,-0.1,9.2,0.3,1.3,1.5,-0.4,2.1,0.3,0
2005-08-31,50,-61.1,-14.6,41.6,100.3,97.3,98.4,99.4,102.3,91,-35,0.2,9.1,-0.1,-0.4,-2.6,-0.4,-2.1,0.2,0.3
2005-09-30,38.6,-58.1,-14.3,31.8,101.2,98.8,101.3,101.3,102.8,90,-32,0.5,9.1,-0.2,0.3,2.2,2.2,3.3,0.8,0.2
2005-10-31,39.4,-58,-13.6,34.7,103.9,100.4,102.7,103.3,103.4,89,-16,0.3,9.1,-0.4,0,1.8,-3.5,1.8,-0.3,0.1
2005-11-30,38.7,-55.2,-13.8,40,102.8,103.8,102.1,102.4,104,90,-33,-0.3,9,0.1,1.2,-1,4.2,1.3,-0.5,-0.3
2005-12-30,61.6,-44.4,-11.6,51.2,104.2,102.8,105.2,104.7,104.8,93,-58,0.3,9,0.4,-0.7,0.3,-1.2,-0.3,0.5,0.2
2006-01-31,71,-31.6,-10.7,66.1,106.9,102.1,105.6,106.3,106.2,95,43,-0.4,8.9,-0.4,0.1,0.4,0.1,0.8,0.3,-0.2
2006-02-28,69.8,-19.5,-10.9,66,107.3,105,107.8,107.6,107.4,97,-2,0.3,8.8,0.2,1.3,0.2,-1.1,0.4,0.1,0.7
2006-03-31,63.4,-8.4,-11.5,61.1,108.2,104.6,110.3,109.2,108.3,96,-8,0.6,8.7,0.2,0.3,-1.2,1.5,-0.8,-0.3,0
2006-04-28,62.7,2.9,-10.5,58.7,107.7,102.3,111.7,109.7,109.7,95,-60,0.7,8.6,-0.1,-0.4,2.8,-0.6,3.1,0.5,0.1
2006-05-31,50,8.7,-8.7,47.7,106.5,103.6,112.4,109.4,108.6,94,-97,0.3,8.6,0.1,1.8,1.1,1.8,0.8,-0.1,0.6
2006-06-30,37.8,11.9,-8.9,37.3,106.2,103.3,115,110.5,112.1,95,-59,0.1,8.5,2.1,0.4,-0.2,0,-1.5,0.4,0.2
2006-07-31,15.1,23.3,-8.1,18.1,105.4,104.6,114.3,109.7,109.9,97,-96,-0.1,8.4,-2.4,-0.9,1.6,-1.9,3,0.2,-0.2
2006-08-31,-5.6,33.6,-8.7,1.3,104.7,104.1,113.6,109.1,110.3,97,-22,0.1,8.4,1.2,0.6,0.5,0.4,3.4,-0.2,0.3
2006-09-29,-22.2,38.9,-8.1,-10.2,102.3,105.2,116.9,109.4,109.8,98,-19,0,8.3,-2,0.3,-0.3,0.9,-1.5,0,0
2006-10-31,-27.4,42.9,-8.4,-12.5,103.8,103.4,117.2,110.3,110.3,97,-77,0.1,8.2,0.5,0.3,-0.3,-1.1,0.1,0.4,0.1
2006-11-30,-28.5,53,-7.9,-11,104.7,104.2,119.8,112,109.4,97,-91,0,8.1,0.2,0.2,1.9,0.3,0.6,0.5,0.6
2006-12-29,-19,63.5,-6.8,-3,106.8,108,121.4,113.9,109.9,97,-95,0.4,8,2.6,3.3,0.8,1.2,0.5,-0.2,0.7
2007-01-31,-3.6,70.6,-6.2,-1.8,106.4,105.8,119.3,112.6,107.8,97,-91,-0.5,7.9,-3.8,-2.9,-0.1,-1.4,1.6,-0.1,-1.5
2007-02-28,2.9,70.9,-5.4,6.8,104.6,106.7,117.3,110.7,109.7,97,-66,0.3,7.8,1.8,0.4,0.7,1.2,2.9,0.1,0.9
2007-03-30,5.8,69.2,-5.3,5.1,105.6,108.7,117.9,111.6,111.3,98,-70,0.7,7.7,0.2,0.4,0.3,0.8,0,0.7,1.2
2007-04-30,16.5,76.9,-4.5,10.7,107.3,103.9,119,113,112.7,99,-46,0.6,7.6,1.9,-1.3,-1,-1.8,-1.2,-0.5,-0.8
2007-05-31,24,88,-1.2,22.3,107.7,105.2,118.1,112.8,110.3,105,-24,0.2,7.6,-4.2,1.7,1.8,2.1,3.4,0.6,-0.6
2007-06-29,20.3,88.7,-1.7,19,106.3,103.3,116.7,111.4,108.6,106,-50,0.1,7.6,1.8,-0.6,0.2,-0.6,3.5,-0.1,0.8
2007-07-31,10.4,88.2,-1.8,7.2,105.9,103.6,117.9,111.7,107.6,105,-41,-0.2,7.6,-0.7,0.5,0.6,1,-4.7,-0.2,-0.1
2007-08-31,-6.9,80.2,-4.2,-6.1,104.6,102.5,116.6,110.4,105.8,102,-22,0.1,7.6,0.9,2.2,0.3,0.1,0.6,0.8,0.3
2007-09-28,-18.1,74.4,-6.2,-20.3,103.6,102.4,116.2,109.7,106.3,100,-53,0.4,7.5,-0.6,-2.1,1,-1.5,-0.4,-0.5,-0.3
2007-10-31,-18.1,70.2,-7,-19,103.2,102,115.5,109.1,106.4,98,-33,0.5,7.5,-1,-1,0.1,2,4.4,0.3,0
2007-11-30,-32.5,70,-9.1,-30,103.2,102.5,116.3,109.6,106.3,93,-51,0.5,7.4,-0.5,-0.7,-0.3,-1.4,2.3,-0.1,0.1
2007-12-31,-37.2,63.5,-9.4,-35.7,102.3,101.4,114.7,108.3,106.3,92,-60,0.4,7.4,-1.9,-1,0.8,-0.4,-1.2,0.3,-0.6
2008-01-31,-41.6,56.6,-11.4,-41.7,102.3,98,114.8,108.4,105,88,-79,-0.4,7.3,4.7,3.3,1.5,0.9,-2,-0.6,0.5
2008-02-29,-39.5,33.7,-12.6,-41.4,100,98.3,115.2,107.3,105,88,-65,0.3,7.3,0.3,-0.7,-0.4,0.6,0.6,0.5,0.7
2008-03-31,-32,32.1,-13,-35,100.2,95.6,116.7,108.1,104.3,86,-63,1,7.3,-2.8,0.5,-0.9,-1.1,-1.6,-0.5,-1.3
2008-04-30,-40.7,33.2,-12.6,-44.8,99.7,96.3,113.6,106.4,100.2,86,-6,0.3,7.5,0,0.9,0.5,2.3,1,0.2,-0.2
2008-05-30,-41.4,38.6,-14,-43.6,99.7,99.1,115.4,107.3,101.6,83,-7,0.6,7.5,0.7,-3,-2,-4.6,-2.4,-0.3,0.8
2008-06-30,-52.4,37.6,-16.2,-52.7,97.9,96.5,113.3,105.4,99.8,80,-55,0.4,7.6,-0.2,1.2,0.8,0.1,-3.6,0.1,-1.4
2008-07-31,-63.9,17,-19.5,-63.7,92,92.7,110.5,100.8,97,79,-10,-0.2,7.6,-0.8,-2,-1.6,1,-0.1,0.1,0
2008-08-29,-55.5,-9.2,-19.5,-55.7,90.6,95.8,108.2,99,94.9,80,-29,-0.1,7.7,1.8,-3.2,1.8,-0.5,2,-0.8,0.2
2008-09-30,-41.1,-1,-19.3,-40.9,89.1,97.9,104.3,96.4,95.4,82,-6,0.2,7.7,0.4,-1.5,-1.8,-1.7,-6.5,0.2,0.6
2008-10-31,-63,-35.9,-24.5,-62.7,84.4,97,103.3,93.4,90.3,80,-11,0,7.8,-1.4,-2.5,-2.1,-2.8,-6.8,-0.6,-1.1
