,PMITMFR Index,ECPMICOU Index,PMITSFR Index,PMITMGE Index,PMITSGE Index,PMITMEZ Index,PMITMIT Index,PMITSIT Index
2006-03-31,54.6,58.5,60.4,58.1,56.6,56.1,55.5,59
2006-04-28,55.3,58.7,59.4,58.1,57.3,56.7,57,59.6
2006-05-31,56.1,59,60.6,58.5,56.7,57,56.6,61.8
2006-06-30,56.1,60.4,61.6,59.5,61,57.7,57.5,60.3
2006-07-31,57.2,58.5,61,58.9,56.1,57.4,56.1,58.6
2006-08-31,56.2,57.8,61.3,58.2,54.3,56.6,54.8,57.6
2006-09-29,56,57.3,61.4,58.4,54.4,56.6,54.8,54.3
2006-10-31,56.3,57.3,61,58.2,54,57,56.2,54.1
2006-11-30,56.5,57.6,58.8,58.3,56.8,56.6,54.8,56.2
2006-12-29,54.2,57.5,57.6,59.4,57.6,56.5,55,55
2007-01-31,52.4,57.5,58.8,58.5,58.3,55.5,53.5,55.4
2007-02-28,53.4,57.7,58.9,57.2,57.2,55.6,54.2,56.2
2007-03-30,53.8,57.4,59.2,56.9,57.5,55.4,53.8,54.1
2007-04-30,53.9,56.9,58.7,57,57.8,55.4,53.9,53.9
2007-05-31,54.3,56.8,57.9,56.1,57.5,55,55,56.5
2007-06-29,53.8,57.8,59,57.3,58.9,55.6,54,57.9
2007-07-31,53.3,57.5,58.9,56.8,58.5,54.9,53.3,58.5
2007-08-31,52.5,57.4,58.4,56,59.8,54.3,53.6,56.2
2007-09-28,50.5,54.7,56.8,54.9,53.1,53.2,52.4,53.9
2007-10-31,50.5,54.7,58.5,51.7,55.1,51.5,51.3,55.3
2007-11-30,52.5,54.1,59.2,53.7,53.1,52.8,51.3,50.8
2007-12-31,53.8,53.3,58.9,53.6,51.2,52.6,50.7,49.7
2008-01-31,53.9,51.8,56.6,54.4,49.2,52.8,50.8,47.9
2008-02-29,53.8,52.8,58.2,54.3,52.2,52.3,50.6,47.2
2008-03-31,51.9,51.8,57.3,55.1,51.8,52,49.4,48.8
2008-04-30,51.1,51.9,52.8,53.6,54.9,50.7,48.2,49.8
2008-05-30,51.5,51.1,50.5,53.6,53.8,50.6,48,48.1
2008-06-30,49.2,49.3,50.1,52.6,52.1,49.2,46.9,48.5
2008-07-31,47.1,47.8,47.5,50.9,53.1,47.4,45.3,45.6
2008-08-29,45.8,48.2,48,49.7,51.4,47.6,47.1,48.5
2008-09-30,43,46.9,50.1,47.4,50.2,45,44.4,49.4
