,SPX Index,NKY Index ,SX5E Index,SPGCICP Index,SPGSCLP Index,SPGSGCP Index,TY1 Comdty,NFP T Index,CPI YoY Index,NHSPATOT Index,LEI CHNG Index,CONSSENT Index,DXY Index
1990-01-31,329.08,37188.95,1069.92,119.1308,219.58,75.987,97,109145,5.2,1748,-0.1,93,92.55
1990-02-28,331.89,34591.99,1048.91,133.1597,211.46,74.368,96.40625,109394,5.3,1329,-0.3,89.5,93.39
1990-03-30,339.94,29980.45,1115.39,150.5658,197.13,67.291,95.4375,109609,5.2,1246,0.1,91.3,93.77
1990-04-30,330.8,29584.8,1087.94,142.6492,174.52,66.645,93.25,109650,4.7,1136,-0.4,93.9,93.08
1990-05-31,361.23,33130.8,1116.83,145.2035,159.5,65.308,95.9375,109800,4.4,1067,0.1,90.6,92.93
1990-06-29,358.02,31940.24,1120.33,153.8237,151,63.766,97,109822,4.7,1108,0,88.3,91.15
1990-07-31,356.15,31035.66,1116.48,168.1266,175.39,65.6,97.53125,109776,4.8,1078,-0.4,88.2,87.2
1990-08-31,322.56,25978.37,962.15,180.0298,235.74,67.33,94.5,109570,5.6,1069,-1.3,76.4,86.58
1990-09-28,306.05,20983.5,845.96,171.3745,348.98,70.599,94.625,109484,6.2,976,-1.2,72.8,85.91
1990-10-31,304,25194.1,889.57,166.9747,322.57,65.963,95.75,109325,6.3,925,-1.4,63.9,83.27
1990-11-30,322.22,22454.63,872.81,158.7626,273.27,66.078,97.96875,109178,6.3,941,-1.7,66,82.94
1990-12-31,330.22,23848.71,858.72,173.2157,275.37,67.877,98.75,109120,6.1,861,-0.9,65.5,83.12
1991-01-31,343.93,23293.14,871.77,157.0359,215.53,62.629,99.40625,108997,5.7,786,-1.3,66.8,82
1991-02-28,367.07,26409.22,959.23,168.3394,206.42,62.714,99.3125,108692,5.3,853,-0.2,70.4,84.07
1991-03-29,375.22,26292.04,982.08,160.1676,215.36,60.572,98.75,108534,4.9,911,-0.5,87.7,92.01
1991-04-30,375.35,26111.25,1002.08,159.8803,233.11,60.285,99.28125,108322,4.9,916,1,81.8,91.54
1991-05-31,389.83,25789.62,1045.52,146.8291,235.97,61.023,99.09375,108196,5,991,0.8,78.3,93.15
1991-06-28,371.16,23290.96,1003.15,153.7792,228.35,61.892,97.5,108286,4.7,964,0,82.1,96.03
1991-07-31,387.81,24120.75,1000.94,155.2317,242.09,60.873,98.46875,108236,4.4,973,1.1,82.9,93.49
1991-08-30,395.43,22335.87,1016.62,159.9112,249.53,57.934,100.78125,108255,3.8,944,0.2,82,93.49
1991-09-30,387.86,23916.44,1007,162.0402,249.59,58.657,102.59375,108289,3.4,974,0.8,83,89.9
1991-10-31,392.46,25222.28,1003.13,164.481,264.27,59.018,102.96875,108305,2.9,991,0,78.3,89.94
1991-11-29,375.22,22687.35,985.85,158.3228,244.34,60.453,103.46875,108248,3,984,0,69.1,88.19
1991-12-31,417.09,22983.77,1000,152.7663,217.36,57.863,107.28125,108272,3.1,1061,-0.2,68.2,83.53
1992-01-31,408.79,22023.05,1045.71,154.2083,214.18,58.134,103.53125,108324,2.6,1077,0.8,67.5,87.49
1992-02-28,412.7,21338.81,1082.35,162.4422,210.33,57.357,104.15625,108257,2.8,1146,0.3,68.8,88.99
1992-03-31,403.69,19345.95,1060.78,159.8961,216.72,55.614,101.6875,108313,3.2,1082,0.8,76,89.65
1992-04-30,414.95,17390.71,1085.06,157.7452,231.99,54.391,101.71875,108472,3.2,1054,0.9,77.2,89.62
1992-05-29,415.35,18347.75,1105.18,158.7203,244.74,54.22,103.8125,108598,3,1056,0.8,79.2,87.22
1992-06-30,408.14,15951.73,1056.93,172.1208,239.39,55.181,104.375,108659,3.1,1057,0.4,80.4,83.72
1992-07-31,424.21,15910.28,988.96,176.1973,242.91,57.31,107.75,108731,3.2,1089,0.4,76.6,81.91
1992-08-31,414.03,18061.12,951.68,173.4126,239.37,54.757,108.78125,108872,3.1,1075,0.4,76.1,78.88
1992-09-30,417.8,17399.08,968.58,163.4701,243.68,55.407,109.21875,108909,3,1114,0.3,75.6,81.1
1992-10-30,418.68,16767.4,980.05,158.0142,232.24,53.932,106.6875,109088,3.2,1132,0.3,73.3,87.63
1992-11-30,431.35,17683.65,1012.37,152.0939,222.99,52.993,106.125,109227,3,1118,0.9,85.3,90.83
1992-12-31,435.71,16924.95,1033.51,158.9276,217.48,52.614,106.90625,109440,2.9,1176,1.3,91,92.36
1993-01-29,438.78,17023.78,1043.55,150.6587,223.91,52.066,109.78125,109750,3.3,1177,0.6,89.3,92.46
1993-02-26,443.38,16953.35,1128.36,145.0547,226.83,51.814,112.375,109991,3.2,1148,0.7,86.6,94.01
1993-03-31,451.67,18591.45,1140.82,145.162,225.09,53.222,111.1875,109942,3.1,1056,-0.1,85.9,91.87
1993-04-30,440.19,20919.18,1114.25,125.4076,223.99,56.03,112,110251,3.2,1104,0.8,85.6,89.5
1993-05-31,450.19,20552.35,1113.68,117.5648,216.42,59.371,111.71875,110519,3.2,1112,0.1,80.3,89.08
1993-06-30,450.53,19590,1157.58,126.3171,200.95,59.199,113.3125,110693,3,1130,0.3,81.5,93.61
1993-07-30,448.13,20380.14,1236.14,128.6241,188.11,63.539,113.28125,110992,2.8,1174,0.1,77,95.37
1993-08-31,463.56,21026.6,1321.88,124.4731,188.39,58.039,115.71875,111154,2.8,1230,0.7,77.3,93.95
1993-09-30,458.93,20105.71,1285.92,107.7533,189.49,55.166,115.375,111396,2.7,1251,0.6,77.9,92.82
1993-10-29,467.83,19702.97,1359.41,104.9795,168.99,57.097,115.09375,111676,2.8,1287,0.4,82.7,95.08
1993-11-30,461.79,16406.54,1326.28,106.677,151.81,57.149,113.34375,111938,2.7,1357,0.5,81.2,96.21
1993-12-31,466.45,17417.24,1433.34,118.1643,136.56,60.222,112.65625,112250,2.7,1461,1.5,88.2,96.84
1994-01-31,481.61,20229.12,1456.88,122.9413,143.88,58.647,114.3125,112519,2.5,1390,-0.3,94.3,95.59
1994-02-28,467.14,19997.2,1396.06,123.0479,136.07,58.479,111.09375,112722,2.5,1269,0.3,93.2,94.55
1994-03-31,445.77,19111.92,1365.74,123.1898,137.95,59.932,106.28125,113188,2.5,1342,1.5,91.5,93.06
1994-04-29,450.91,19725.25,1427.37,129.5925,158.21,57.424,105.3125,113538,2.4,1392,0.7,92.6,92.12
1994-05-31,456.5,20973.59,1358.74,146.9424,175.76,58.841,104.96875,113869,2.3,1396,0.5,92.8,92.52
1994-06-30,444.27,20643.93,1284.6,153.4432,191.69,58.433,102.96875,114179,2.5,1357,0.9,91.2,89.62
1994-07-29,458.26,20449.39,1373.6,157.9081,207.39,57.785,105.15625,114541,2.8,1335,0.3,89,89.87
1994-08-31,475.49,20628.53,1397.12,163.408,181.37,58.022,105.25,114839,2.9,1377,0.9,91.7,89.67
1994-09-30,462.69,19563.81,1302.53,158.8906,188.24,59.032,101.46875,115193,3,1412,0.6,91.5,87.88
1994-10-31,472.35,19989.6,1327.67,173.0786,185.11,57.146,100.65625,115400,2.6,1397,0.6,92.7,85.69
1994-11-30,453.69,19075.62,1323.35,190.1542,184.89,56.543,100.25,115818,2.7,1340,0.4,91.6,89.13
1994-12-30,459.27,19723.06,1320.59,199.2844,181.51,56.529,99.9375,116094,2.7,1396,0.6,95.1,88.72
