,Index,Vol.Index,Hist_30D,Hist_90D,Phist_30D
2013-05-13,22989.81,15.58,16.01,14.6,10.70822509
2013-05-10,23321.22,14.7,15.4,14.4,10.68064109
2013-05-09,23211.48,14.66,15.38,14.38,10.65359326
2013-05-08,23244.35,15.1,15.41,14.43,10.63289489
2013-05-07,23047.09,14.92,15.39,14.36,10.74235762
2013-05-06,22915.09,15.28,15.34,14.36,10.93705155
2013-05-03,22689.96,15.26,15.33,14.26,11.00181316
2013-05-02,22668.3,15.73,15.36,14.28,10.98687618
2013-04-30,22737.01,15.42,16.57,14.32,11.17276593
2013-04-29,22580.77,16.07,16.49,14.28,11.40210996
2013-04-26,22547.71,16.56,16.5,14.34,11.77192161
2013-04-25,22401.24,16.44,16.94,14.3,12.05727117
2013-04-24,22183.05,16.61,16.78,14.22,11.94804626
2013-04-23,21806.61,17.18,15.78,13.92,12.15254157
2013-04-22,22044.37,17.04,16.22,13.8,11.93831096
2013-04-19,22013.57,17.17,16.21,14.27,11.90900166
2013-04-18,21512.52,17.68,14.78,13.72,11.20703582
2013-04-17,21569.67,17.74,14.8,13.86,11.51393921
2013-04-16,21672.03,17.65,15.32,13.86,11.39529727
2013-04-15,21772.67,17.83,15.35,13.95,11.2939483
2013-04-12,22089.05,16.56,16.12,13.76,11.21651392
2013-04-11,22101.27,16.31,16.15,13.76,11.34073887
2013-04-10,22034.56,16.14,16.54,13.76,11.26359331
2013-04-09,21870.34,16.75,16.35,13.77,11.2531511
2013-04-08,21718.05,16.9,16.18,13.82,11.2636984
2013-04-05,21726.9,16.96,16.82,14.02,11.24422021
2013-04-03,22337.49,14.51,15.1,13.17,10.70018056
2013-04-02,22367.82,15.04,15.34,13.18,10.6048668
2013-03-28,22299.63,14.69,15.27,13.18,10.50088147
2013-03-27,22464.82,15.15,15.2,13.4,10.38144322
2013-03-26,22311.08,15.75,15.29,13.5,10.37908051
2013-03-25,22251.15,15.84,15.26,13.65,10.25420534
2013-03-22,22115.3,15.56,15.09,13.61,10.24961948
2013-03-21,22225.88,16.18,15.18,13.67,10.37987654
2013-03-20,22256.44,16.54,16.49,14.31,10.47559395
2013-03-19,22041.86,16.98,16.08,14.26,10.25374397
2013-03-18,22083.36,18.01,16.09,14.26,10.19183794
2013-03-15,22533.11,15.28,15.14,13.86,10.14384172
2013-03-14,22619.18,14.96,15.36,14.02,9.897881537
2013-03-13,22556.65,15.69,15.3,14.07,9.55578171
2013-03-12,22890.6,15.06,14.84,13.92,9.116276681
2013-03-11,23090.82,14.68,14.64,13.85,8.708795901
2013-03-08,23091.95,14.61,14.64,13.85,8.692615961
2013-03-07,22771.44,15.28,13.91,13.84,8.315853185
2013-03-06,22777.84,15.5,13.96,13.84,8.227351685
2013-03-05,22560.5,16.15,13.56,13.76,8.23428868
2013-03-04,22537.81,16.87,14.07,13.8,8.431074968
2013-03-01,22880.22,15.08,13.4,13.53,7.973582235
2013-02-28,23020.27,15.19,13.29,13.5,8.047667766
2013-02-27,22577.01,17.15,11.76,13.21,7.804660737
2013-02-26,22519.69,18.11,11.93,13.21,7.900737687
2013-02-25,22820.08,16.05,11.36,12.98,7.994296508
2013-02-22,22782.44,15.83,11.51,13.02,7.990036932
2013-02-21,22906.67,15.58,11.52,12.98,7.986002851
2013-02-20,23307.41,14.15,10.64,12.59,7.920825391
2013-02-19,23143.91,14.73,10.41,12.57,7.982537779
2013-02-18,23381.94,14.41,9.99,12.54,7.727815725
