,Index,Vol.Index,Hist_30D,Hist_90D,Phist_30D
2013-05-13,14782.21,27.07,23.98,24.65,15.7434993
2013-05-10,14607.54,26.08,24.56,24.67,15.70086552
2013-05-09,14191.48,25.61,23.47,24.42,15.54210292
2013-05-08,14285.69,25.77,23.44,24.51,15.39469507
2013-05-07,14180.24,24.76,23.71,24.73,15.3445233
2013-05-02,13694.04,24.2,23.31,24.17,15.06948979
2013-05-01,13799.35,23.48,23.28,24.11,15.01335314
2013-04-30,13860.86,25.25,23.66,24.08,15.14715385
2013-04-26,13884.13,25.59,25.46,24.15,15.17645068
2013-04-25,13926.08,25.79,25.58,24.12,15.22923636
2013-04-24,13843.46,25.63,25.68,24.14,15.19161405
2013-04-23,13529.65,25.36,25.18,23.93,15.20312583
2013-04-22,13568.37,25.87,25.18,23.92,15.23792804
2013-04-19,13316.48,25.23,24.73,23.79,15.51923541
2013-04-18,13220.07,25.92,25.66,23.79,15.49464779
2013-04-17,13382.89,25.81,25.2,23.65,15.43995008
2013-04-16,13221.44,28.15,25.61,23.61,15.49692076
2013-04-15,13275.66,27.9,25.48,23.57,15.12752343
2013-04-12,13485.14,28.6,24.71,23.35,15.25316369
2013-04-11,13549.16,28.86,24.52,23.47,15.3245344
2013-04-10,13288.13,28.43,25,23.32,15.38697049
2013-04-09,13192.35,29.64,25.6,23.31,15.4232339
2013-04-08,13192.59,29.79,26.9,23.39,15.31549693
2013-04-05,12833.64,28.65,26.63,23.05,15.55264794
2013-04-04,12634.54,26.14,26.41,22.97,14.78896708
2013-04-03,12362.2,27.12,26.32,22.83,12.56627572
2013-04-02,12003.43,27.71,25.05,22.61,12.06539361
2013-04-01,12135.02,27.07,24.79,22.62,11.43072596
2013-03-29,12397.91,25.67,24.28,22.21,11.28117867
2013-03-28,12335.96,26.44,24.71,22.23,11.31657558
2013-03-27,12493.79,25.64,24.23,22.16,11.34329539
2013-03-26,12471.62,26.33,24.58,22.27,11.45309091
2013-03-25,12546.46,25.66,24.86,22.45,11.67319678
2013-03-22,12338.53,27.49,25.4,22.35,11.79479598
2013-03-21,12635.69,24.14,24.34,21.88,12.21297312
2013-03-19,12468.23,24.14,26.2,21.86,12.33462871
2013-03-18,12220.63,26.11,26.62,21.72,12.35039954
2013-03-15,12560.95,22.59,24.92,21.05,12.25074137
2013-03-14,12381.19,23.85,24.71,21,12.31478208
2013-03-13,12239.66,24.7,24.59,21.08,12.57710687
2013-03-12,12314.81,25.72,25.06,21.03,12.84309676
2013-03-11,12349.05,26.49,24.96,21.21,12.99151776
2013-03-08,12283.62,26.64,25.31,21.25,13.091967
2013-03-07,11968.08,25.09,25.51,20.96,13.10980101
2013-03-06,11932.27,24.8,25.63,20.96,13.30635502
2013-03-05,11683.45,25.94,26.19,20.74,13.74983642
2013-03-04,11652.29,27.14,26.27,20.74,13.99671421
2013-03-01,11606.38,26.51,26.81,20.94,13.95499389
2013-02-28,11559.36,27.8,27.93,20.99,14.34185323
2013-02-27,11253.97,29.2,26.93,20.68,14.53263434
2013-02-26,11398.81,28.32,27.88,20.5,14.39830544
2013-02-25,11662.52,27.98,26.86,20.02,14.2894581
2013-02-22,11385.94,27.44,26.28,19.76,14.25140186
2013-02-21,11309.13,27.05,26.28,20.14,14.33993412
2013-02-20,11468.28,27.17,25.82,20.07,14.36219102
2013-02-19,11372.34,27.58,25.99,20.05,14.54118391
2013-02-18,11407.87,27.76,26.14,20.05,14.65320973
2013-02-15,11173.83,26.83,26.69,19.85,14.53664654
2013-02-14,11307.28,25.58,26.34,19.7,14.28633052
2013-02-13,11251.41,26.82,26.39,19.79,14.33530692
2013-02-12,11369.12,28.19,26.26,19.76,14.18069644
2013-02-08,11153.16,27.71,26.03,19.56,14.72200991
2013-02-07,11357.07,26.49,25.49,19.64,14.64561443
2013-02-06,11463.75,24.96,25.63,19.53,14.67177418
2013-02-05,11046.92,23.96,24.32,18.64,14.24575734
2013-02-04,11260.35,23.66,23.31,18.27,14.17812511
2013-02-01,11191.34,23.34,23.35,18.52,14.19593121
2013-01-31,11138.66,23.29,23.41,18.59,14.21909956
2013-01-30,11113.95,23.76,23.67,18.62,14.07274086
2013-01-29,10866.72,22.7,23.05,18.49,13.70808253
2013-01-28,10824.31,23.81,23.11,18.49,13.43251069
2013-01-25,10926.65,22.2,22.74,18.56,13.15957557
2013-01-24,10620.87,21.34,21.6,18.08,13.02800856
2013-01-23,10486.99,20.22,21.46,17.99,12.8860068
2013-01-22,10709.93,22.48,20.06,17.87,12.59122195
2013-01-21,10747.74,24.08,20.04,17.84,12.02599762
2013-01-18,10913.3,23.9,19.12,17.73,11.80152009
2013-01-17,10609.64,22.32,17.71,17.17,11.68281457
2013-01-16,10600.44,22.41,17.76,17.23,11.01258021
2013-01-15,10879.08,21.82,15.96,16.84,10.54377221
2013-01-11,10801.57,20.99,15.95,16.93,10.57932201
2013-01-10,10652.64,20.15,15.72,16.81,10.55916111
2013-01-09,10578.57,19.42,16.05,16.84,10.63347536
2013-01-08,10508.06,19.06,16.08,16.81,10.06877638
2013-01-07,10599.01,20.51,15.65,16.88,9.847089017
2013-01-04,10688.11,21.95,15.31,16.8,9.870215443
2012-12-28,10395.18,22.45,14.6,16.2,10.05716909
2012-12-27,10322.98,23.16,15.13,16.18,10.02355746
2012-12-26,10230.36,21.58,15.19,16.13,10.13192383
2012-12-25,10080.12,20.84,15.08,16,9.965968148
2012-12-21,9940.06,21.74,15.43,16.12,9.896516503
2012-12-20,10039.33,18.82,15.35,16.01,9.030457921
2012-12-19,10160.4,18.79,15.7,15.86,9.039240591
2012-12-18,9923.01,17.16,14.55,15.39,8.717291887
2012-12-17,9828.88,17.62,14.58,15.44,8.533197392
2012-12-14,9737.56,19.49,14.62,15.47,8.460941886
2012-12-13,9742.73,19.1,14.84,15.52,8.559791365
2012-12-12,9581.46,17.39,14.21,15.34,8.534218491
2012-12-11,9525.32,17.46,14.34,15.66,9.017236622
2012-12-10,9533.75,17.88,14.79,15.8,9.100539334
2012-12-07,9527.39,16.94,14.8,15.8,9.429614309
2012-12-06,9545.16,17.4,15.5,15.84,9.646387601
2012-12-05,9468.84,17.61,15.65,15.83,9.997335171
2012-12-04,9432.46,17.32,15.84,15.86,9.87451714
2012-12-03,9458.18,17.58,15.79,16.01,10.33242017
2012-11-30,9446.01,17.11,15.79,16.07,10.35368843
2012-11-29,9400.88,17.27,15.77,16.29,10.38827975
2012-11-28,9308.35,17.67,16.52,16.23,10.44117124
2012-11-27,9423.3,18.2,16.18,16.42,10.38419581
2012-11-26,9388.94,18.86,16.54,16.62,10.50908544
2012-11-22,9366.8,17.98,16.55,16.66,10.5630173
2012-11-21,9222.52,17.85,16.15,16.48,10.66756114
