,Index,Vol.Index,Hist_30D,Hist_90D,Phist_30D
2013-05-13,1633.77,12.55,13.48,10.73,10.12555413
2013-05-10,1633.7,12.59,13.52,10.75,10.16675496
2013-05-09,1626.67,13.13,13.61,11.48,10.16214309
2013-05-08,1632.69,12.66,13.54,11.74,10.17328267
2013-05-07,1625.96,12.83,13.53,11.94,10.20834561
2013-05-06,1617.5,12.66,13.62,11.93,10.37148925
2013-05-03,1614.42,12.85,13.7,11.98,10.4390259
2013-05-02,1597.59,13.59,13.52,11.89,10.33289621
2013-05-01,1582.7,14.49,13.56,11.95,10.29359814
2013-04-30,1597.57,13.52,13.32,11.83,10.35353976
2013-04-29,1593.61,13.71,13.36,11.93,10.42960334
2013-04-26,1582.24,13.61,13.34,12.01,10.34864052
2013-04-25,1585.16,13.62,13.34,12.14,10.35574644
2013-04-24,1578.79,13.61,13.39,12.16,10.28639814
2013-04-23,1578.78,13.48,13.39,12.23,10.30024095
2013-04-22,1562.5,14.39,13.06,12.13,10.17412176
2013-04-19,1555.25,14.97,13.03,12.15,10.04474189
2013-04-18,1541.61,17.56,12.82,12.07,9.884057273
2013-04-17,1552.01,16.51,12.66,12,9.699057072
2013-04-16,1574.57,13.96,11.82,11.71,9.29957639
2013-04-15,1552.36,17.27,11.4,11.49,9.063510357
2013-04-12,1588.85,12.06,8.72,10.71,8.383127423
2013-04-11,1593.37,12.24,8.62,10.73,8.348102953
2013-04-10,1587.73,12.36,8.63,10.73,8.755734012
2013-04-09,1568.61,12.84,8.69,10.58,8.615968919
2013-04-08,1563.07,13.19,8.78,10.63,9.56136711
2013-04-05,1553.28,13.92,10.54,10.65,9.546477036
2013-04-04,1559.98,13.89,10.67,10.62,9.419143458
2013-04-03,1553.69,14.21,10.87,10.8,9.614853054
2013-04-02,1570.25,12.78,11.07,10.61,9.392696297
2013-04-01,1562.17,13.58,11.16,10.59,9.377357423
2013-03-28,1569.19,12.7,11.05,10.99,9.338916142
2013-03-27,1562.85,13.15,11.01,11,9.336762723
2013-03-26,1563.77,12.77,11,11.01,9.268896742
2013-03-25,1551.69,13.74,10.81,11.27,9.182983131
2013-03-22,1556.89,13.57,10.74,11.28,9.000298303
2013-03-21,1545.8,13.99,10.67,11.24,9.056303821
2013-03-20,1558.71,12.67,10.32,11.11,8.940730276
2013-03-19,1548.34,14.39,10.17,11.32,9.094022473
2013-03-18,1552.1,13.36,10.51,12.09,9.093989178
2013-03-15,1560.7,11.3,11.02,12.1,9.121563434
2013-03-14,1563.23,11.3,11.3,12.09,9.119892686
2013-03-13,1554.52,11.83,11.29,12.2,9.137805336
2013-03-12,1552.48,12.27,11.39,12.32,9.185053574
2013-03-11,1556.22,11.56,11.4,12.3,9.170162598
2013-03-08,1551.18,12.59,11.42,12.3,9.168069757
2013-03-07,1544.26,13.06,11.45,12.29,9.226279815
2013-03-06,1541.46,13.53,11.46,12.31,9.24199508
2013-03-05,1539.79,13.48,11.46,12.59,9.302991613
2013-03-04,1525.2,14.01,11.21,12.5,9.147608876
2013-03-01,1518.2,15.36,11.18,12.83,9.145528932
2013-02-28,1514.68,15.51,11.26,12.84,8.925189248
2013-02-27,1515.99,14.73,11.25,12.85,8.90998199
2013-02-26,1496.94,16.87,10.66,12.79,8.455123509
2013-02-25,1487.85,18.99,10.53,12.82,8.318882624
2013-02-22,1515.6,14.17,8.76,12.41,7.192812664
2013-02-21,1502.42,15.22,8.67,12.33,7.087094328
2013-02-20,1511.95,14.68,8.38,12.33,6.989323746
2013-02-19,1530.94,12.31,7.37,12.26,6.725525455
2013-02-15,1519.79,12.46,7.28,12.22,6.689319323
2013-02-14,1521.38,12.66,7.32,12.22,6.694119639
2013-02-13,1520.33,12.98,7.4,12.27,7.924320059
2013-02-12,1519.43,12.64,10.25,12.28,8.616148292
2013-02-11,1517.01,12.94,11.14,12.28,8.821109515
2013-02-08,1517.93,13.02,11.85,12.29,9.177119308
2013-02-07,1509.39,13.5,11.86,12.28,9.257030348
2013-02-06,1512.12,13.41,11.98,12.38,9.13048948
2013-02-05,1511.29,13.72,12.05,12.42,9.439976744
2013-02-04,1495.71,14.67,12.21,12.45,9.267814071
2013-02-01,1513.17,12.9,11.6,12.29,9.141224752
2013-01-31,1498.11,14.28,11.65,12.17,9.192865875
2013-01-30,1501.96,14.32,11.98,12.17,9.389456232
2013-01-29,1507.84,13.31,12.22,12.14,9.366735119
2013-01-28,1500.18,13.57,12.33,12.12,9.463802776
2013-01-25,1502.96,12.89,12.53,12.13,9.538764255
2013-01-24,1494.82,12.69,12.48,12.11,9.680256898
2013-01-23,1494.81,12.46,12.55,12.41,9.59309528
2013-01-22,1492.56,12.43,12.56,12.42,9.635725227
2013-01-18,1485.98,12.46,12.54,12.41,9.594084154
2013-01-17,1480.94,13.57,12.54,12.45,9.757798455
2013-01-16,1472.63,13.42,12.48,12.43,9.716756566
2013-01-15,1472.34,13.55,12.51,12.89,9.867710024
2013-01-14,1470.68,13.52,12.65,12.89,9.842821893
2013-01-11,1472.05,13.36,12.64,12.89,9.901220715
2013-01-10,1472.12,13.49,12.66,12.91,10.3565234
2013-01-09,1461.02,13.81,12.67,12.93,10.35952392
2013-01-08,1457.15,13.62,12.83,12.93,10.41767171
2013-01-07,1461.89,13.79,12.79,12.92,10.58811777
2013-01-04,1466.47,13.83,13.18,12.9,10.5405481
2013-01-03,1459.37,14.56,13.15,12.92,10.60827256
2013-01-02,1462.42,14.68,13.1,13,11.08381622
2012-12-31,1426.19,18.02,12.28,12.27,10.46673194
2012-12-28,1402.43,22.72,11.4,11.95,9.985655494
2012-12-27,1418.1,19.47,10.78,11.79,10.38959825
2012-12-26,1419.83,19.48,11.72,11.8,10.29912747
2012-12-24,1426.66,18.59,11.68,11.83,10.22174202
2012-12-21,1430.15,17.84,11.63,11.82,10.45856247
2012-12-20,1443.69,17.67,11.15,11.7,10.56650984
2012-12-19,1435.81,17.36,11.83,11.67,11.59846675
2012-12-18,1446.79,15.57,13.79,11.6,11.67554858
2012-12-17,1430.36,16.34,13.57,11.44,11.57250369
2012-12-14,1413.58,17,13.11,11.26,11.67680515
2012-12-13,1419.45,16.56,13.36,11.27,11.80673244
2012-12-12,1428.48,15.95,13.61,11.22,11.76285076
2012-12-11,1427.84,15.57,13.61,11.66,11.79849702
2012-12-10,1418.55,16.05,13.48,11.69,11.80673829
2012-12-07,1418.07,15.9,13.51,11.7,11.89100322
2012-12-06,1413.94,16.58,13.52,11.72,12.26123788
2012-12-05,1409.28,16.46,14.16,11.71,12.32974664
2012-12-04,1407.05,17.12,14.14,12.13,12.5862068
2012-12-03,1409.46,16.64,14.94,12.43,12.60496678
2012-11-30,1416.18,15.87,14.9,12.4,12.50915415
2012-11-29,1415.95,15.06,14.98,12.51,12.61059718
2012-11-28,1409.93,15.51,15.28,12.6,12.65787163
2012-11-27,1398.94,15.92,15.29,12.66,12.3726449
2012-11-26,1406.29,15.5,15.24,12.63,12.37036406
2012-11-23,1409.15,15.14,15.24,12.67,12.3723114
2012-11-21,1391.03,15.31,14.73,12.54,12.29318772
2012-11-20,1387.81,15.08,14.91,12.55,12.31366841
2012-11-19,1386.89,15.24,14.9,12.84,12.32313588
2012-11-16,1359.88,16.41,13.35,12.44,11.92544435
2012-11-15,1353.33,17.99,13.49,12.41,11.77402313
2012-11-14,1355.49,17.92,13.61,12.49,11.7595798
2012-11-13,1374.53,16.65,13.14,12.26,11.38872228
2012-11-12,1380.03,16.68,13.18,12.35,11.2612012
2012-11-09,1379.85,18.61,13.2,12.38,11.40223418
2012-11-08,1377.51,18.49,13.59,12.42,11.24569046
2012-11-07,1394.53,19.08,13.24,12.24,11.15197674
2012-11-06,1428.39,17.58,11.6,12.21,10.04145268
2012-11-05,1417.26,18.42,11.3,12.16,9.887574419
2012-11-02,1414.2,17.59,11.26,12.24,9.872928459
2012-11-01,1427.59,16.69,10.96,12.13,9.560515057
2012-10-31,1412.16,18.6,10.37,12.35,9.375071278
2012-10-26,1411.94,17.81,10.37,12.4,9.291152337
2012-10-25,1412.97,18.12,10.38,13.02,9.292696208
2012-10-24,1408.75,18.33,10.42,13.02,9.701887659
2012-10-23,1413.11,18.83,11.63,13.1,9.59923134
2012-10-22,1433.82,16.62,10.81,12.84,9.10791595
2012-10-19,1433.19,17.06,10.85,12.94,9.038412406
2012-10-18,1457.34,15.03,9.74,12.69,8.445239045
2012-10-17,1460.91,15.07,9.75,12.75,9.033917137
2012-10-16,1454.92,15.22,11.34,12.87,9.020653317
2012-10-15,1440.13,15.27,11.01,12.99,8.974162935
2012-10-12,1428.59,16.14,10.79,12.99,8.982197427
