,Index,Vol.Index,Hist_30D,Hist_90D,Phist_30D
2013-05-13,2777.39,17.6724,18.5,17.94,15.60491375
2013-05-10,2785.24,17.4277,19.37,17.94,16.08076136
2013-05-09,2773.16,17.2186,19.37,17.94,16.07055014
2013-05-08,2784.62,17.3575,19.68,18.54,16.91897265
2013-05-07,2769.08,17.4472,19.7,18.53,17.04546918
2013-05-06,2750.52,18.0551,20.04,18.63,17.14075374
2013-05-03,2763.68,17.6329,19.97,18.63,17.21164208
2013-05-02,2718.9,18.7486,19.62,18.42,17.07747488
2013-04-30,2712,20.261,20.4,18.43,16.95092747
2013-04-29,2717.38,19.9773,20.52,18.44,16.95108317
2013-04-26,2683.43,19.7111,20.23,18.34,16.92621652
2013-04-25,2704.41,19.4097,20.62,18.29,16.89701693
2013-04-24,2702.05,18.9814,20.63,18.29,16.88821285
2013-04-23,2662.88,19.2103,20.13,18.12,16.67621611
2013-04-22,2583.62,20.638,17.7,17.37,16.0110937
2013-04-19,2575.16,20.4999,18.27,17.46,15.89943071
2013-04-18,2555.5,21.949,18.14,17.41,15.87856001
2013-04-17,2553.49,22.7545,18.12,17.41,16.00821911
2013-04-16,2609.3,20.5067,18.59,17.03,15.15776725
2013-04-15,2624.71,20.1989,18.51,16.99,15.33487355
2013-04-12,2633.47,20.2145,18.58,16.99,15.17136628
2013-04-11,2674.33,18.848,18.11,16.78,15.26253105
2013-04-10,2661.62,19.1768,18.64,16.77,15.53596887
2013-04-09,2595.13,20.4229,19.51,16.37,15.55744585
2013-04-08,2589.25,21.4857,19.67,16.37,15.66402426
2013-04-05,2585.28,22.2855,20.55,16.37,15.96968274
2013-04-04,2621.43,21.0977,21.31,16.22,15.48774572
2013-04-03,2639.01,20.7645,21.36,16.23,15.48478306
2013-04-02,2679.8,19.6165,21.47,16.03,15.32706634
2013-03-28,2624.02,20.8944,20.53,15.65,14.95759223
2013-03-27,2612.46,21.8599,20.61,15.66,14.96949874
2013-03-26,2641.12,20.8755,20.5,16.21,14.45083206
2013-03-25,2649.28,21.2387,20.5,16.4,14.51816633
2013-03-22,2681.67,21.2876,20.35,16.27,13.58647919
2013-03-21,2683.92,19.7897,20.38,16.34,13.53096251
2013-03-20,2708.9,18.8741,20.42,16.29,13.59431468
2013-03-19,2671.96,21.5306,20.22,16.15,13.9316058
2013-03-18,2705.47,18.0979,20.25,15.99,13.90222381
2013-03-15,2725.72,15.7276,20.26,15.92,14.72789165
2013-03-14,2744.7,15.0835,22.46,16.38,14.66032694
2013-03-13,2704.73,16.9279,22.03,16.24,14.66872849
2013-03-12,2711.85,17.3243,22.26,16.37,14.7532349
2013-03-11,2718.71,17.6154,22.32,16.38,14.73895895
2013-03-08,2728.78,17.3844,22.3,16.47,14.71685867
2013-03-07,2690.85,18.7353,21.87,16.34,14.69180419
2013-03-06,2679.89,20.1143,21.97,16.51,14.79681026
2013-03-05,2683.02,19.5539,22.04,16.56,14.76337774
2013-03-04,2619.78,21.4361,20.73,16.1,14.51787069
2013-03-01,2616.75,21.7728,20.73,16.11,14.37359872
2013-02-28,2633.55,21.0046,20.79,16.08,14.08825745
2013-02-27,2611.89,22.0043,20.61,16.45,14.09302215
2013-02-26,2570.52,25.8975,20.04,16.25,13.77037986
2013-02-25,2651.86,21.3086,17.84,15.48,13.40522961
2013-02-22,2630.05,20.8556,17.67,15.43,12.81994601
2013-02-21,2579.76,21.5133,16.5,15.14,12.58204524
2013-02-20,2640.35,19.6147,15.16,15.18,12.29584871
2013-02-19,2662.37,18.4631,14.99,15.13,12.12813285
2013-02-18,2616.65,19.3248,14.07,14.93,11.71383849
