,SPX Index,KOSPI Index,NKY Index,HSCEI Index,SX5E Index
2013-04-30,1597.57,1963.95,13860.86,10917.97,2712
2013-03-29,1569.19,2004.89,12397.91,10896.22,2624.02
2013-02-28,1514.68,2026.49,11559.36,11437.17,2633.55
2013-01-31,1498.11,1961.94,11138.66,12130.59,2702.98
2012-12-31,1426.19,1997.05,10395.18,11436.16,2635.93
2012-11-30,1416.18,1932.9,9446.01,10622.67,2575.25
2012-10-31,1412.16,1912.06,8928.29,10582.05,2503.64
2012-09-28,1440.67,1996.21,8870.16,9831.62,2454.26
2012-08-31,1406.58,1905.12,8839.91,9280.25,2440.71
2012-07-31,1379.32,1881.99,8695.06,9674.27,2325.72
2012-06-29,1362.16,1854.01,9006.78,9574.84,2264.72
2012-05-31,1310.33,1843.47,8542.73,9686.03,2118.94
2012-04-30,1397.91,1981.99,9520.89,11081,2306.43
2012-03-30,1408.47,2014.04,10083.56,10640.16,2477.28
2012-02-29,1365.68,2030.25,9723.24,11826.76,2512.11
2012-01-31,1312.41,1955.79,8802.51,11299.05,2416.66
2011-12-30,1257.6,1825.74,8455.35,9936.48,2316.55
2011-11-30,1246.96,1847.51,8434.61,9508.94,2330.43
2011-10-31,1253.3,1909.03,8988.39,10512.99,2385.22
2011-09-30,1131.42,1769.65,8700.29,8917.36,2179.66
2011-08-31,1218.89,1880.11,8955.2,10943.29,2302.08
2011-07-29,1292.28,2133.21,9833.03,12373.64,2670.37
2011-06-30,1320.64,2100.69,9816.09,12576.68,2848.53
2011-05-31,1345.2,2142.47,9693.73,13268.39,2861.92
2011-04-29,1363.61,2192.36,9849.74,13208.71,3011.25
2011-03-31,1325.83,2106.7,9755.1,13315.84,2910.91
2011-02-28,1327.22,1939.3,10624.09,12504.53,3013.09
2011-01-31,1286.12,2069.73,10237.92,12560.66,2953.63
2010-12-31,1257.64,2051,10228.92,12692.43,2792.82
2010-11-30,1180.55,1904.63,9937.04,12817.59,2650.99
2010-10-29,1183.26,1882.95,9202.45,13168.68,2844.99
2010-09-30,1141.2,1872.81,9369.35,12406.1,2747.9
2010-08-31,1049.33,1742.75,8824.06,11402.9,2622.95
2010-07-30,1101.6,1759.33,9537.3,11905,2742.14
2010-06-30,1030.71,1698.29,9382.64,11466.24,2573.32
2010-05-31,1089.41,1641.25,9768.7,11494.31,2610.26
2010-04-30,1186.69,1741.56,11057.4,12181.2,2816.86
2010-03-31,1169.43,1692.85,11089.94,12397.59,2931.16
2010-02-26,1104.49,1594.58,10126.03,11543.73,2728.47
2010-01-29,1073.87,1602.43,10198.04,11498.2,2776.83
2009-12-31,1115.1,1682.77,10546.44,12794.13,2964.96
2009-11-30,1095.63,1555.6,9345.55,12980.33,2797.25
2009-10-30,1036.19,1580.69,10034.74,12769.36,2743.5
2009-09-30,1057.08,1673.14,10133.23,11858.15,2872.63
2009-08-31,1020.62,1591.85,10492.53,11278.26,2775.17
2009-07-31,987.48,1557.29,10356.83,12123.59,2638.13
2009-06-30,919.32,1390.07,9958.44,10962.61,2401.69
2009-05-29,919.14,1395.89,9522.5,10428.19,2451.24
2009-04-30,872.81,1369.36,8828.26,9084.91,2375.34
2009-03-31,797.87,1206.26,8109.53,8070.13,2071.13
2009-02-27,735.09,1063.03,7568.42,6902.84,1976.23
2009-01-30,825.88,1162.11,7994.05,7131.98,2236.98
2008-12-31,903.25,1124.47,8859.56,7891.8,2447.62
2008-11-28,896.24,1076.07,8512.27,7207.48,2430.31
2008-10-31,968.75,1113.06,8576.98,6611.15,2591.76
2008-09-30,1166.36,1448.06,11259.86,9070.31,3038.2
2008-08-29,1282.83,1474.24,13072.87,11664.43,3365.63
2008-07-31,1267.38,1594.67,13376.81,12506.74,3367.82
2008-06-30,1280,1674.92,13481.38,11909.75,3352.81
2008-05-30,1400.38,1852.02,14338.54,13770.51,3777.85
2008-04-30,1385.59,1825.47,13849.99,14230.25,3825.02
2008-03-31,1322.7,1703.99,12525.54,12083.3,3628.06
2008-02-29,1330.63,1711.62,13603.02,13931.88,3724.5
2008-01-31,1378.55,1624.68,13592.47,12485.07,3792.8
