,SPX Index,KOSPI Index,NKY Index,HSCEI Index,SX5E Index
2013-05-13,1633.7,1948.7,14782.21,11109.27,2768.24
2013-05-10,1633.7,1944.75,14607.54,11347.41,2785.24
2013-05-09,1626.67,1979.45,14191.48,11266.89,2773.16
2013-05-08,1632.69,1956.45,14285.69,11284.74,2784.62
2013-05-07,1625.96,1954.35,14180.24,11115.05,2769.08
2013-05-06,1617.5,1961.48,13694.04,11001.77,2750.52
2013-05-03,1614.42,1965.71,13694.04,10845.99,2763.68
2013-05-02,1597.59,1957.21,13694.04,10825.35,2718.9
2013-05-01,1582.7,1963.95,13799.35,10917.97,2711.74
2013-04-30,1597.57,1963.95,13860.86,10917.97,2712
2013-04-29,1593.61,1940.7,13884.13,10785.58,2717.38
2013-04-26,1582.24,1944.56,13884.13,10834.08,2683.43
2013-04-25,1585.16,1951.6,13926.08,10772.76,2704.41
2013-04-24,1578.79,1935.31,13843.46,10634.37,2702.05
2013-04-23,1578.78,1918.63,13529.65,10425.09,2662.88
2013-04-22,1562.5,1926.31,13568.37,10590.75,2583.62
2013-04-19,1555.25,1906.75,13316.48,10587.32,2575.16
2013-04-18,1541.61,1900.06,13220.07,10266.59,2555.5
2013-04-17,1552.01,1923.84,13382.89,10300.93,2553.49
2013-04-16,1574.57,1922.21,13221.44,10426.56,2609.3
2013-04-15,1552.36,1920.45,13275.66,10440.76,2624.71
2013-04-12,1588.85,1924.23,13485.14,10655.68,2633.47
2013-04-11,1593.37,1949.8,13549.16,10708.25,2674.33
2013-04-10,1587.73,1935.58,13288.13,10694.23,2661.62
2013-04-09,1568.61,1920.74,13192.35,10610.77,2595.13
2013-04-08,1563.07,1918.69,13192.59,10429.76,2589.25
2013-04-05,1553.28,1927.23,12833.64,10429.31,2585.28
2013-04-04,1559.98,1959.45,12634.54,10758.8,2621.43
2013-04-03,1553.69,1983.22,12362.2,10758.8,2639.01
2013-04-02,1570.25,1986.15,12003.43,10811.44,2679.8
2013-04-01,1562.17,1995.99,12135.02,10896.22,2624.02
2013-03-28,1569.19,1993.52,12335.96,10896.22,2624.02
2013-03-27,1562.85,1993.44,12493.79,11033.61,2612.46
2013-03-26,1563.77,1983.7,12471.62,10925.13,2641.12
2013-03-25,1551.69,1977.67,12546.46,10978,2649.28
2013-03-22,1556.89,1948.71,12338.53,10896.48,2681.67
2013-03-21,1545.8,1950.82,12635.69,10944.35,2683.92
2013-03-20,1558.71,1959.41,12468.23,10978.75,2708.9
2013-03-19,1548.34,1978.56,12468.23,10740.05,2671.96
2013-03-18,1552.1,1968.18,12220.63,10794.7,2705.47
2013-03-15,1560.7,1986.5,12560.95,11020.89,2725.72
2013-03-14,1563.23,2002.13,12381.19,11101.96,2744.7
2013-03-13,1554.52,1999.73,12239.66,11037.41,2704.73
2013-03-12,1552.48,1993.34,12314.81,11292.14,2711.85
2013-03-11,1556.22,2003.35,12349.05,11435.82,2718.71
2013-03-08,1551.18,2006.01,12283.62,11484.35,2728.78
2013-03-07,1544.26,2004.4,11968.08,11311.45,2690.85
2013-03-06,1541.46,2020.74,11932.27,11359.04,2679.89
2013-03-05,1539.79,2016.61,11683.45,11169.52,2683.02
2013-03-04,1525.2,2013.15,11652.29,11104.65,2619.78
2013-03-01,1518.2,2026.49,11606.38,11344.24,2616.75
2013-02-28,1514.68,2026.49,11559.36,11437.17,2633.55
2013-02-27,1515.99,2004.04,11253.97,11144.34,2611.89
2013-02-26,1496.94,2000.01,11398.81,11104.1,2570.52
2013-02-25,1487.85,2009.52,11662.52,11333.98,2651.86
2013-02-22,1515.6,2018.89,11385.94,11317.13,2630.05
2013-02-21,1502.42,2015.22,11309.13,11426.22,2579.76
2013-02-20,1511.95,2024.64,11468.28,11683.04,2640.35
