,SPX Index,SPVXSP Index,SPGCICP Index,SPGSCLP Index,SPGSGCP Index,TY1 Comdty
2005-12-20,1259.62,100000,379.8792,1007.32,50.376,109.078125
2005-12-21,1262.79,98667.71,380.642,1015.47,50.204,108.78125
2005-12-22,1268.12,97794.3,382.1252,1010.62,51.187,109.15625
2005-12-23,1268.66,95893.4,384.3289,1013.22,51.208,109.59375
2005-12-27,1256.54,97525.57,384.3289,1008.54,51.704,109.828125
2005-12-28,1258.17,96611.2,387.5073,1037.32,52.333,109.578125
2005-12-29,1254.42,96589.08,384.0323,1045.99,52.454,109.578125
2005-12-30,1248.29,97190.24,380.4725,1058.48,52.596,109.40625
2006-01-03,1268.8,94676.96,384.5408,1094.9,53.975,109.65625
2006-01-04,1273.46,93839.11,392.8046,1099.75,54.289,109.78125
2006-01-05,1273.48,93381.22,389.7957,1088.82,53.498,109.78125
2006-01-06,1285.45,91730.89,389.4567,1113.45,54.857,109.59375
2006-01-09,1290.15,90040.81,394.4573,1101.14,55.799,109.59375
2006-01-10,1289.69,88561.87,394.0668,1098.47,55.312,109.234375
2006-01-11,1294.18,87438.32,393.5058,1106.79,55.76,109
2006-01-12,1286.06,88434.31,391.582,1107.2,55.679,109.34375
2006-01-13,1287.61,88206.57,398.2652,1108.37,56.463,109.765625
2006-01-17,1282.93,89268.18,395.1064,1148.88,56.191,109.859375
2006-01-18,1277.93,90495.7,398.1798,1137.04,55.196,109.765625
2006-01-19,1285.04,89417.63,397.4114,1153.17,56.664,109.5
2006-01-20,1261.49,92205.96,392.5451,1175.31,56.161,109.578125
2006-01-23,1263.82,93463.5,398.1797,1168.79,56.643,109.625
2006-01-24,1266.86,92140.65,401.7654,1150.94,56.583,109.4375
2006-01-25,1264.68,90590.93,412.9493,1130.17,57.035,108.828125
2006-01-26,1273.83,88425.36,412.1809,1137.21,56.774,108.546875
2006-01-27,1283.72,86779.04,418.157,1162.95,56.643,108.65625
2006-01-30,1285.2,85641.78,417.2179,1173.08,57.337,108.484375
2006-01-31,1280.08,86205.57,417.1325,1165.7,57.829,108.4375
2006-02-01,1282.46,85905.9,419.2668,1142.36,57.678,108.1875
