,SPX Index,NKY Index ,SX5E Index,HSCEI Index,KOSPI2 Index,SPGCICP Index,SPGSCLP Index,SPGSGCP Index,TY1 Comdty,TU1 Comdty
2004-01-02,1108.48,10676.64,2797.56,5363.06,106.65,151.9547,631.54,44.703,111.34375,106.84375
2004-01-05,1122.22,10825.17,2808.07,5391.28,107.07,153.7623,656.01,45.638,111.3125,106.8515625
2004-01-06,1123.67,10813.99,2805.91,5182.86,106.9,151.4705,654.45,45.466,112.203125,107.0625
2004-01-07,1126.33,10757.82,2782.52,5078.91,107.54,151.067,652.9,45.369,112.5,107.09375
2004-01-08,1131.92,10837.65,2821.33,5028.21,107.2,155.4086,659.89,45.595,112.53125,107.0859375
2004-01-09,1121.86,10965.05,2800.16,5077.92,110.26,156.2544,666.19,45.853,113.921875,107.4453125
2004-01-12,1127.23,10965.05,2793.88,4850.11,111.1,153.3485,673.87,45.831,113.96875,107.4453125
2004-01-13,1121.22,10849.68,2801.97,4811.44,110.71,153.3937,667.03,45.559,114.4375,107.5546875
2004-01-14,1130.52,10863,2829.44,4781.92,110.98,155.0503,663.87,45.336,114.671875,107.5390625
2004-01-15,1132.05,10665.15,2840.8,4730.15,110.34,152.6281,639.11,43.91,114.640625,107.4765625
2004-01-16,1139.83,10857.2,2865.96,4569.14,110.63,154.5335,667.99,43.739,114.3125,107.4921875
2004-01-20,1138.77,11103.1,2859.58,4905.81,112.63,158.5866,685.08,44.371,114.03125,107.46875
2004-01-21,1147.62,11002.39,2873.86,4963.03,112.63,158.4897,679.39,44.189,114.1875,107.484375
2004-01-22,1143.94,11000.7,2891.84,4963.03,112.63,159.1841,686.26,44.071,114.75,107.578125
2004-01-23,1141.55,11069.01,2892.54,4963.03,112.63,159.3779,686.46,43.857,114,107.484375
2004-01-26,1155.37,10972.6,2874.47,4803.33,113.68,158.4736,677.23,43.717,113.53125,107.4140625
2004-01-27,1144.05,10928.03,2884.25,4823.31,113.02,158.0215,670.35,44.071,114,107.5
2004-01-28,1128.48,10852.47,2896.78,4711.8,112.59,159.7816,660.53,44.564,112.890625,107.1953125
2004-01-29,1134.11,10779.44,2860.08,4639.94,111.66,159.1841,644.61,42.806,113,107.171875
2004-01-30,1131.13,10783.61,2839.13,4597.72,110.89,162.0907,649.33,43.182,113.4375,107.25
2004-02-02,1135.26,10776.73,2853.9,4497.27,111.68,162.0584,687.25,42.796,113.375,107.28125
2004-02-03,1136.03,10641.92,2841.26,4662.31,109.61,165.2556,669.96,42.86,113.828125,107.40625
2004-02-04,1126.52,10447.25,2819.92,4559.61,108.96,165.8692,650.31,43.053,113.6875,107.3984375
2004-02-05,1128.59,10464.6,2816.34,4557.69,109.77,165.8369,649.92,42.742,113.234375,107.2421875
2004-02-06,1142.76,10460.92,2833.63,4765.67,111.16,167.0318,638.13,43.321,114.015625,107.4140625
2004-02-09,1139.81,10402.61,2870.98,4992.96,113.18,167.4874,644.8,43.664,114.21875,107.4375
2004-02-10,1145.54,10365.4,2880.94,4845.71,113.46,166.8019,664.95,43.621,113.9375,107.3359375
2004-02-11,1157.76,10365.4,2890.8,4823.95,114.92,170.0634,668.38,44.018,114.671875,107.53125
2004-02-12,1152.11,10459.26,2896.25,4868.64,115.2,175.9978,671.02,44.393,114.46875,107.515625
2004-02-13,1145.81,10557.69,2860.88,4943.99,115.75,175.1545,685.5,44.028,114.828125,107.640625
2004-02-17,1156.99,10701.13,2895.38,5097.39,116.03,184.042,700.78,44.639,114.796875,107.6328125
2004-02-18,1151.82,10676.81,2897.59,5129.82,114.87,181.7066,693.14,44.243,114.78125,107.6171875
2004-02-19,1147.06,10753.8,2932.95,4985.42,115.65,187.0261,696.35,43.975,114.8125,107.640625
2004-02-20,1144.11,10720.69,2904.36,5007.41,115.03,187.2207,688.71,42.656,114.46875,107.5625
2004-02-23,1140.99,10868.96,2907.46,5037.58,115.05,186.6369,690.52,42.796,114.890625,107.65625
2004-02-24,1139.09,10644.13,2866.04,4982.48,113.32,188.5182,695.15,43.385,115.046875,107.703125
2004-02-25,1143.67,10658.73,2872.48,4900.88,113.63,192.7349,717.26,42.453,115.140625,107.765625
2004-02-26,1144.91,10815.29,2883.54,5017.75,113.44,190.7563,713.84,42.388,114.9375,107.7421875
2004-02-27,1144.94,11041.92,2893.18,5102.14,115.92,191.8267,726.91,42.528,115.375,107.8203125
2004-03-01,1155.96,11271.12,2918.56,5097.78,115.92,198.1193,740.98,42.828,115.296875,107.78125
2004-03-02,1149.1,11361.51,2946.62,5133.27,118.07,196.5624,736.96,42.206,114.890625,107.671875
2004-03-03,1151.04,11351.92,2926.79,5139.62,117.57,186.7667,719.67,42.088,114.8125,107.640625
2004-03-04,1154.88,11401.79,2952.61,5090.98,119.28,189.5562,736.56,42.142,115.09375,107.671875
2004-03-05,1156.87,11537.29,2945.63,5033.14,118.88,192.3133,749.02,43.042,116.625,108
2004-03-08,1147.21,11502.86,2959.71,5088.2,118.1,187.8237,735.37,42.967,117.046875,108.0625
2004-03-09,1140.58,11532.04,2923.05,5066.24,116.82,182.2409,728.84,43.353,117.421875,108.09375
2004-03-10,1123.89,11433.24,2922.68,4976.17,114.74,185.3296,726.28,42.903,117.3125,108.046875
2004-03-11,1106.78,11297.04,2834.02,4786.65,113.87,191.0596,741.82,42.978,117.296875,108.046875
2004-03-12,1120.57,11162.75,2834.03,4866.05,111.23,188.6403,730.12,42.401,117.25,108.0546875
2004-03-15,1104.49,11317.9,2756.13,4902.37,111.63,193.2827,753.32,42.828,117.15625,108.015625
2004-03-16,1110.7,11242.29,2773.18,4899.46,111.49,197.6636,752.91,43.149,117.734375,108.109375
2004-03-17,1123.75,11436.86,2821.8,4998.95,114.55,194.3943,772.2,43.63,117.734375,108.1015625
2004-03-18,1122.32,11484.28,2761.66,4869.79,114.55,197.5982,767.48,44.079,117.25,108.0390625
2004-03-19,1109.78,11418.51,2769.86,4854.02,116.02,198.4809,772.2,44.229,116.984375,108.0234375
2004-03-22,1095.4,11318.51,2712.11,4723.95,113.31,195.7674,760.5,44.753,117.265625,108.09375
2004-03-23,1093.95,11281.09,2713.68,4794.06,113.72,194.002,768.71,45.009,116.109375,108.09375
2004-03-24,1091.33,11364.99,2702.05,4898.57,113.18,196.7482,759.68,44.731,116.171875,108.1328125
2004-03-25,1109.19,11530.91,2752.43,4696.77,112.16,192.6942,728.89,44.678,116.03125,108.125
2004-03-26,1108.06,11770.65,2763.75,4658.22,113.64,196.3232,733.41,45.245,115.21875,107.9921875
2004-03-29,1122.47,11718.24,2797.68,4573.09,115.1,197.3367,727.66,44.71,114.90625,107.9296875
2004-03-30,1127,11693.68,2791.58,4715.99,114.98,195.9636,744.08,45.202,114.84375,107.4765625
2004-03-31,1126.21,11715.39,2787.49,4778.13,115.98,197.6637,734.02,45.79,115.40625,107.5859375
2004-04-01,1132.17,11683.42,2819.7,4741.03,116.34,200.083,703.44,45.843,114.875,107.453125
2004-04-02,1141.81,11815.95,2885.08,4858.7,116.35,197.5002,705.9,45.17,112.9375,106.9921875
2004-04-05,1150.57,11958.32,2905.88,4858.7,116.35,191.1904,705.7,44.507,112.40625,106.9140625
2004-04-06,1148.16,12079.7,2865.03,4968.74,119.57,194.002,717.81,44.881,112.796875,106.984375
2004-04-07,1140.53,12019.62,2851.83,5003.3,120.05,191.3211,742.03,45.298,112.84375,107
2004-04-08,1139.32,12092.59,2858.92,5037.26,121.04,190.9739,762.41,44.977,112.609375,107
2004-04-12,1145.2,12042.7,2858.92,5037.26,120.99,190.9739,776.45,44.999,112.40625,106.96875
2004-04-13,1129.44,12127.82,2889.91,4961.53,120.65,187.6152,764.27,43.587,111.5625,106.7578125
2004-04-14,1128.17,12098.18,2856.61,4707.42,120.59,190.1676,757.91,42.818,111.25,106.5234375
2004-04-15,1128.84,11800.4,2854.53,4677.13,120.59,189.443,772.06,42.582,111.171875,106.5703125
2004-04-16,1134.61,11824.56,2866.95,4693.76,117.97,194.5809,769.78,42.935,111.625,106.734375
2004-04-19,1135.82,11764.21,2859.24,4626.39,118.49,197.6768,764.78,42.893,111.421875,106.671875
2004-04-20,1118.15,11952.26,2878.8,4447.66,120.6,192.8024,759.58,42.582,111.09375,106.5703125
2004-04-21,1124.09,11944.3,2855.46,4258.11,121.93,181.341,743.55,41.845,110.96875,106.3984375
2004-04-22,1139.93,11980.1,2877.65,4316.39,120.76,180.6823,763.95,42.112,111.390625,106.5234375
2004-04-23,1140.6,12120.66,2894.18,4503.94,122.44,181.2093,758.75,42.305,110.671875,106.2890625
2004-04-26,1135.53,12163.89,2886.05,4248.42,120.3,181.9997,769.36,42.401,110.796875,106.3046875
2004-04-27,1138.11,12044.88,2884.82,4222.67,119.7,182.7901,781.01,42.668,111.09375,106.4296875
2004-04-28,1122.41,12004.29,2836.67,4263.41,117.48,173.1072,779.56,41.257,110.59375,106.2890625
2004-04-29,1113.89,12004.29,2806.37,4069.79,114.01,176.9935,776.43,41.385,110.171875,106.1953125
2004-04-30,1107.3,11761.79,2787.48,4061.18,112.4,178.9037,777.89,41.428,110.5,106.2734375
2004-05-03,1117.49,11761.79,2806.46,4076.78,112.84,178.9037,795.16,41.428,110.5,106.2578125
2004-05-04,1119.55,11761.79,2799.71,4259.28,112.92,182.3948,811.19,41.888,110.296875,106.2890625
2004-05-05,1121.53,11761.79,2823.37,4217.96,112.92,182.9218,823.47,42.101,110.0625,106.265625
2004-05-06,1113.99,11571.34,2765.74,4282.64,108.97,183.5146,819.3,41.524,109.828125,106.1640625
2004-05-07,1098.7,11438.82,2756.85,4222.76,109.38,175.5443,830.96,40.53,108.484375,105.6875
2004-05-10,1087.12,10884.7,2684.96,3897.08,102.94,171.5832,810.29,40.487,108.5625,105.765625
2004-05-11,1095.45,10907.18,2721.08,3945.86,102.73,175.6197,834.61,40.327,108.6875,105.7890625
2004-05-12,1097.28,11153.58,2680.1,4003.07,106.05,177.0125,849.17,40.38,108.5625,105.796875
2004-05-13,1096.44,10825.1,2712.5,3931.85,102.14,174.7782,856.14,40.082,108.203125,105.671875
