,CESIUSD Index,CESIG10 Index,CESIJPY Index,CESICNY Index,CESIEUR Index
2013-05-13,-7.3,-27.3,-42,-36.7,-69.1
2013-05-10,-7.3,-27.3,-42,-36.7,-69.1
2013-05-09,-6.9,-27.1,-37.9,-36.8,-68.4
2013-05-08,-7.9,-29.6,-38.4,-36.9,-68.5
2013-05-07,-4.9,-29.3,-39.2,-33.9,-72.4
2013-05-06,-3.1,-29.4,-38.6,-32.1,-75.1
2013-05-03,0.3,-28.6,-38.5,-29.3,-77.7
2013-05-02,4.2,-27.1,-38.6,-28.7,-78
2013-05-01,-3.8,-31.3,-38.7,-28.2,-80.2
2013-04-30,-1.7,-30.2,-39,-27.6,-79.3
2013-04-29,-5.3,-33.8,-49.2,-27.8,-81.6
2013-04-26,-12.4,-36.3,-54.4,-27.9,-78.3
2013-04-25,-6.2,-33.6,-55.5,-27.9,-77
2013-04-24,-7.9,-32.8,-56.4,-27.9,-69.2
2013-04-23,-4.9,-27.7,-57.3,-27.9,-56.4
2013-04-22,-5,-22.3,-58,-16.7,-38.2
2013-04-19,-4.9,-20.1,-59.6,-16.5,-29.3
2013-04-18,-5,-19.3,-60,-16.5,-27.3
2013-04-17,-3.7,-18.3,-60.5,-18.1,-25.7
2013-04-16,-4.1,-18,-60.9,-17.5,-24.3
2013-04-15,3,-15.7,-61.7,-17.1,-23.7
2013-04-12,7.8,-13,-61,11.6,-21
2013-04-11,16.8,-9.2,-61.1,11.8,-20.3
2013-04-10,15.1,-9.4,-62.3,11.9,-19.6
2013-04-09,12.3,-10.8,-62.1,16.4,-20.8
2013-04-08,10.8,-11.4,-62.1,20.4,-20.1
2013-04-05,8,-11.3,-64,25.9,-13.6
2013-04-04,9.3,-10.2,-64.2,27.1,-14.5
2013-04-03,12.3,-8.5,-64.3,28,-10.7
2013-04-02,17.4,-6.2,-64.5,28.9,-9.9
2013-04-01,16.8,-7,-64.6,29.7,-11.5
2013-03-28,18.9,-0.3,-26.7,34.2,-8.3
2013-03-27,25.1,3.1,-29.5,34.5,-3.5
2013-03-26,25.1,5,-31.3,34.8,8.4
2013-03-25,30.2,7.6,-32.5,35.2,10.9
2013-03-22,29.1,7.7,-34.5,36.1,12.4
2013-03-21,28.8,9.4,-35,36.4,18.6
2013-03-20,27.2,16.9,-35.4,36.7,51.8
2013-03-19,26.9,17.1,-35.8,36.9,52
2013-03-18,21,13.8,-36.1,32.5,49.1
2013-03-15,27,15.2,-37.1,33,47
2013-03-14,29.3,16,-37.3,33.2,46.6
2013-03-13,27.4,13.9,-37.6,33.3,46.4
2013-03-12,21.1,11.6,-40.5,33.5,48.7
2013-03-11,21,11.8,-42.3,33.7,49.1
2013-03-08,21.1,15.6,-25,58.2,54.4
2013-03-07,5.1,8.6,-26.2,22.3,56.5
2013-03-06,7,10.9,-26.9,21.6,61.3
2013-03-05,6.3,10.7,-27.6,21,60.9
2013-03-04,5.2,8.5,-28.1,20.6,57.3
2013-03-01,7.7,12.7,-29.6,19.8,67.7
2013-02-28,2.8,10.3,-36.2,24,67.8
2013-02-27,6.7,15.1,-28.5,23.5,76.2
2013-02-26,7.7,14.5,-25.4,23.2,69.1
2013-02-25,-5,10.4,-21.1,23,70.6
2013-02-22,-4.8,12.5,-14,22.5,74.4
2013-02-21,-4.7,6.2,-12.5,22.4,47.4
2013-02-20,-3.7,12.5,-11.3,22.3,66.7
2013-02-19,-2.5,13,-11,23.5,67.8
2013-02-15,-2,12.1,-7.4,23.1,63.5
2013-02-14,-5,12.8,-6.6,23.1,64.5
2013-02-13,-7,14.6,5.3,23,68.2
2013-02-12,-9,13.6,2.2,22.9,69
2013-02-11,-10,13.6,2.7,22.9,70.2
2013-02-08,-12.5,13,4.5,22.8,71
2013-02-07,-30,7.5,7.5,2.3,71.9
2013-02-06,-29.8,6.3,0.4,2.9,72
2013-02-05,-29.9,6.1,0.9,4.1,71.8
2013-02-04,-29.3,4.8,-0.9,4.8,69.2
2013-02-01,-28.1,4.7,-2.7,6.1,68.8
2013-01-31,-27.9,2.4,-2.2,12.9,61.6
2013-01-30,-30.8,4.2,18.3,13.1,63.6
2013-01-29,-7,14.5,19.3,13.3,65.1
2013-01-28,0.3,17.3,20.5,13.5,64.7
2013-01-25,-2,15.8,15.2,14,66.5
2013-01-24,-0.6,16,13.6,14.1,60.1
2013-01-23,-3,7.1,12.3,14.3,34.9
2013-01-22,-2.1,7.4,11.4,14.4,36.7
2013-01-18,2.2,3,7.1,14.8,12.8
2013-01-17,5.2,4.3,6.6,11,11.4
2013-01-16,3.3,3.6,8.4,11.1,10.2
2013-01-15,7.9,4.2,0.4,12,9.2
2013-01-14,8.9,4.4,0.1,15,8.4
2013-01-11,10.9,4.8,-0.8,19.1,6.3
2013-01-10,28.7,12.3,-4.3,19.9,5.7
2013-01-09,30,13.1,-4.6,-2.4,4.9
2013-01-08,31.1,14.3,-4.8,-0.7,6.6
2013-01-07,31.9,14.1,-5.3,0.5,4.6
2013-01-04,34.1,13.1,-5.1,3.2,-2.1
