Code,Name,Mkt Cap,Float Rate,WICS1,WICS2,WICS3,Jaebul,Last,YTD Max,YTD Min,YTD Avg,Ret1D,Ret1W,Ret1M,Ret3M,Ret6M,Ret12M,Turnover_1D,Turnover_5D,Turnover_20D,Turnover_52W,Inst_1D,Inst_5D,Inst_20D,Inst_60D,Inst_120D,Inst_250D,Sec_1D,Sec_5D,Sec_20D,Sec_60D,Sec_120D,Sec_250D,Fund_1D,Fund_5D,Fund_20D,Fund_60D,Fund_120D,Fund_250D,Pension_1D,Pension_5D,Pension_20D,Pension_60D,Pension_120D,Pension_250D,Others_1D,Others_5D,Others_20D,Others_60D,Others_120D,Others_250D,Foreign_1D,Foreign_5D,Foreign_20D,Foreign_60D,Foreign_120D,Foreign_250D
A000020,동화약품,168.7060788,0.6278,건강관리,제약과생물공학,제약,,6040,6800,4050,5337,0,0.0237,-0.0033,0.0117,0.1638,0.4768,709.070026,953.887712,868.192878,706.886933,1.47,98.79,77.84,162.07,161.72,184.95,1.47,57.87,69.64,95.25,94.61,92.63,0,0,-60.27,-1.42,-1.42,-1.71,0,0,0,0,0,0,134.77,318.25,1170.99,-156.33,-1603.44,-379.7,-7.19,14.34,903.35,2928.45,5216.34,8233.98
A000040,S&T모터스,58.95464123,0.6847,경기관련소비재,자동차와부품,자동차,,494,1120,455,642,0.0123,0,-0.0389,-0.1483,-0.2377,-0.256,2843.929148,149.849279,216.222966,2842.827342,0,0,-0.01,-0.03,5.92,-4.3,0,0,-0.01,-0.03,-0.06,0.37,0,0,0,0,0,-0.61,0,0,0,0,0,0,0,0,324.84,350.18,335.97,-36.26,2.66,41.68,27.03,-165.11,-349.65,-92.52
A000050,경방,186.368,0.4491,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,89600,115256,70156,85522,-0.0208,0.0121,0.0121,0.0467,0.1699,0.1486,99.569437,122.59528,121.74348,99.357286,-11.89,-84.5,74.48,835.69,1178.29,305.81,-6.5,-64.52,-81.38,-82.41,-81.35,-93.85,-3.56,-12.4,-13.81,160.91,175.82,213.26,0,0,0,194.63,189.23,-405.67,-57.63,-225.17,-208.62,406.26,408.42,-599.77,25.43,181.43,451.12,202.1,1379.12,1969.74
A000060,메리츠화재,1368.305,0.4917,금융,보험,손해보험,,14150,16000,9910,12303,0,0.0217,0.0969,0.1186,0.2864,0.1891,3826.811342,4650.19177,5546.798865,3815.302706,1085.69,4849.65,-692.97,22318.89,30764.51,36317.44,173.89,885.02,751.7,4003.49,2775.28,942.44,557.38,-1057.51,-12333.62,-7827.46,-18086.25,-26745.66,96.71,1598.26,1595.21,264.47,12079.9,20133.82,-2.73,305.38,159.06,-30024.44,-29999.55,-29706.06,-619.37,-2874.57,4387.31,8484.86,19027.25,29233.73
A000070,삼양홀딩스,547.054787,0.4047,필수소비재,"식품,음료,담배",식품,,71000,92400,48300,66826,-0.0153,-0.0193,-0.0193,0.0741,0.4564,-0.1047,987.470447,538.20078,658.064235,992.58006,8.1,-109.79,-477.72,5814.53,5981.1,-6570.63,-7.76,83.25,415.8,267.85,-234.33,-3501.16,-27.19,-260.82,-960.06,-2523.95,-4563.23,-12478.82,144.02,158.28,210.68,7304.51,9982.46,16264.46,0.29,-66.3,-172.38,-1501.68,-977.13,-2337,-17.59,317.89,1366.44,573.3,3651.44,10611.06
A000080,하이트진로,2112.122506,0.3687,필수소비재,"식품,음료,담배",음료,하이트진로,30400,33700,19550,25327,-0.0033,-0.0082,0.005,0.2459,0.4107,0.167,4661.660605,8179.98351,6723.35143,4661.326547,819.17,5624.37,5890.41,113831.37,115917.78,98047.21,-310.4,1910.77,4705.8,21880.49,22630.17,21284.26,1407.33,2826.73,6669.72,80646.64,83031.34,83400.25,0,-452.54,-6413.65,-20402.86,-20186.7,-29736.29,0,-3915.41,-3780.8,138.54,-71.5,1108.94,-250.61,4753.44,788.85,-95988.73,-89587.24,-93462.33
A000100,유한양행,1929.390458,0.7556,건강관리,제약과생물공학,제약,,173000,195000,105000,137793,-0.0308,0.0058,0.0087,0.1307,0.3206,0.3516,5246.422924,6108.2388,7365.050275,5232.857575,484.5,5477.41,10288.84,93008.8,152204.57,243989.59,-116.6,2024.34,548.68,16806.68,21595.72,21679.96,1308.89,1861.22,5641.9,80954.69,112820.9,136902.08,-292.31,-700.59,3145.02,-3595.52,4960.86,22261.84,-5.29,112.42,-776.25,-806.96,-134.24,-821.72,-2070.85,-1076.83,-3242.71,-63511.03,-100496.17,-165636.45
A000120,CJ대한통운,2292.640572,0.3606,산업재,운송,도로와철도운송,CJ,100500,122000,62100,88561,-0.0147,0.0425,-0.0519,0.0372,0.3224,0.3189,4480.852404,6898.72126,10665.34202,4468.67224,419.07,9792.49,37270.19,79550.16,170713.06,182486.05,-652.79,1495.64,664.96,-145.64,2111.82,3786.81,-92.83,-1020.27,7367.03,28060.47,52651.43,54480.04,1686.28,7625,23304.27,45174.88,76653.25,81514.05,6.79,-1769.2,-51214.4,-49544.78,-153678.69,-151935.68,-720.48,-2955.38,5781.9,-17016.39,13551.76,13748.42
A000140,하이트진로홀딩스,380.590946,0.2638,필수소비재,"식품,음료,담배",음료,하이트진로,16400,18100,8690,11423,0.0155,0.0031,0.0547,0.5922,0.7521,0.5256,574.077309,1940.71404,1079.50212,572.271272,-30.59,2936.51,3632.19,12979.45,13674.18,12711.36,0,9,12.91,782.91,779.93,772.08,9.61,2974.65,3558.16,7296.6,7287,7324.36,49.28,49.28,300.61,3841.48,3830.38,2789.3,0,10.2,-277.53,-5232.41,-7101.64,-8359.08,3.56,363.41,1301.95,1982.04,2389.59,4808.3
A000150,두산,2690.787909,0.3545,산업재,자본재,복합기업,두산,129000,173342,114574,136245,0,0.0662,0.0448,-0.0501,-0.003,-0.0802,12351.10591,41999.6937,18940.6789,12338.17731,9971.56,-24902.39,-49957.31,-65589.36,-43793.79,-15563.98,-6821.34,-17648.24,-8115.72,8073.23,1938.59,7364.87,2423.49,-8270.39,-23054.09,-38762.78,-45290.29,-61649.94,4698.96,12551.5,-4257.54,-16263.85,26648.99,56679.24,-442.62,-320.05,-2044.22,-2369.37,-579.09,764.72,-1768.11,20795.59,38359.12,63144.9,43628.91,51975.16
