Code,F_Start,Acct_type,NI_FQ_4,NI_FQ_3,NI_FQ_2,NI_FQ_1,NI_FQ0,Equity_FQ0,NI_FY0,NI_FY1,Equity_FY1,NI_FY2,Equity_FY2,NI_FQ1,NI_FQ2,NI_FY1_1M,Equity_FY1_1M,NI_FY2_1M,Equity_FY2_1M,NI_FQ1_1M,NI_FQ2_1M
A005930,12,2,3300.16,3887.43,4860.89,5049.04,6424.87,112304.23,13359.19,23175.04,119841.48,28594.09,147227.91,6801.08,6531.2,23401.47,119632.26,29114.87,147773.11,7082.91,6488.5
A005380,12,2,1813.92,1950.12,2300.51,2445.81,2025.23,43121.13,7655.87,8922.75,45390.68,9582.87,54481.2,2164.28,2284.93,8840.33,45329.94,9585.88,54442.46,2099,2304.82
A005490,12,2,226.97,1007.58,629.54,509.29,730.84,39215.83,3648.14,2559.89,39932.6,3187.68,42287.18,679.77,758.14,2543.23,39838.18,3074.85,42000.47,732.4,728.85
A012330,12,2,705.21,620.02,929.16,900.21,822.6,16224.48,3022.96,3496.13,17091.55,3800.32,20711.88,868.66,932.07,3458.38,17058.6,3724.11,20515.95,954,972
A000270,12,2,616.62,765.89,1201.26,1096.47,829.46,16395.4,3415.58,4125.37,17465.27,4381.68,21685.65,1009.16,1123.29,4076.27,17423.12,4268.03,21463.93,976.49,1129.9
A051910,12,2,510.04,375.41,375.4,376.58,452.65,10404.56,2137.93,1593.03,10813.94,1931.4,12444.19,387.16,448.74,1549.97,10789.02,1881.25,12394.13,346.81,452.59
A032830,3,2,51.49,145.63,482.89,242.2,259.44,19952.5,948.4,1074.89,19959.79,1149.7,21054.64,252.73,335.38,NA,NA,NA,NA,NA,NA
A000660,12,2,-561.1,-239.89,-271.12,-53.16,1.89,9787.21,-56.64,-202.13,9861.64,1206.74,11093.22,99.54,142.08,-220.32,9861.5,1090.91,10935.82,116.68,100.97
A055550,12,2,704.18,506.72,826.27,631.4,484.98,26126.26,3100.01,2416.94,26011.24,2394.04,28015.3,471.16,626.67,2414.76,25893.33,2408.05,28037.2,450.19,652.7
A015760,12,2,266.11,-2000.36,-538.13,-1784.3,939.55,51590.3,-3370.46,-1634.8,52343.8,892.31,52382.53,-301.08,116,-1773.21,51344.19,826.15,52349.98,-524.53,158.87
A009540,12,2,516.13,53.11,495.69,132.16,695.31,17240.25,2559.01,1667.56,17801.99,1626.53,19305.96,394.44,381.75,1606.19,17596.44,1452.99,18892.81,301.61,406.96
A096770,12,2,1818.5,145.54,650.02,-239.04,507.41,15178.73,3169.01,1372.08,15662.1,1894.57,17316.16,471.69,486.37,1405.76,15819.49,1958.77,17678.47,493.85,478.77
A105560,12,2,579.07,219.07,603.19,547.46,410.1,24408.04,2373.03,1972.51,24591.33,1971.11,26258.87,409.63,516.34,1968.27,24452.58,1981.08,25908.95,377.44,508.42
A017670,12,2,386.17,216.4,306.42,143.4,178.87,11540.53,1612.89,1118.2,12023.99,1490.72,12763.38,442.45,348.35,1194.23,12118.52,1581,13215.78,479.68,347.4
A066570,12,2,-424.17,-113.16,235.75,156.46,151.44,13165.93,-469.62,707.09,13487.64,1302.14,14689.11,189.03,335.37,635.87,13328.59,1312.34,14619.73,70.44,296.26
